All,الكل
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.",يزودك ذكاء ما جنتو الصناعي بطريقة بسيطة وواضحة لتكون تجارتك قائمة على الحقائق الإحصائية. <a target="_blank" href="https://dashboard.rjmetrics.com/v2/magento/signup/"> تعلم المزيد عن </a> أساسيات الذكاء التجاري.
Auto Parts,قطع غيار السيارات
"Baby/Children’s Apparel, Gear and Toys",ألعاب وأدوات واكسسوارات الأطفال والمواليد
Beauty and Cosmetics,أدوات التجميل والجمال
"Books, Music and Magazines",الكتب والمجلات والصوتيات
Crafts and Stationery,المشغولات اليدوية والأدوات المكتبية
Consumer Electronics,الأدواتا لكهربائية الإستهلاكية
Deal Site,موقع الصفقة
Fashion Apparel and Accessories,الأزياء والكماليات
"Food, Beverage and Grocery",المأكولات والمشروبات والمواد التموينية
Home Goods and Furniture,الأواني المنزلية والأثاث
Home Improvement,تحسين المنزل
Jewelry and Watches,الساعات والمجوهرات
Mass Merchant,تجارة الجملة
Office Supplies,أدوات مكتبية
Outdoor and Camping Gear,مستلزمات التخييم والرحلات
Pet Goods,مستلزمات تربية الحيوانات
Pharma and Medical Devices,الأدوات الطبية والصيدلية
Technology B2B,التقنية (مورد لمورد)
Analytics Subscription,الاشتراك في التحليلات
powered by Magento Business Intelligence,مدعوم بواسطة ذكاء ماجنتو التجاري
Are you sure you want to opt out?,هل انت متأكد من أنك تريد الإنسحاب؟
Cancel,إلغاء
Opt out,انسحاب/ خروج
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>التقارير المتقدمة مضمنة مجانا في برنامج ماجنتو. عند انسحابك, لن نقوم بجمع اي معلومات عن المنتجات او الطلبات او العملاء لإنشاء تقاريرنا الديناميكية.</p> <p>إذا قررت الإستفادة منها لاحقا فسيمكنك تفعيل التقارير المتقدمة من خلال لوحة تحكم الإدارة.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.",من أجل تخصيص التقارير المتقدمة الخاصة بك يرجى اختيار مجال تجارتك.
Back,رجوع
Done,انتهى
Retry,إعادة المحاولة
Action Details - #' .,تفاصيل العملية - #' .
%1 item(s) have been scheduled for update.",%1 صنف (أصناف) على جدول التحديث."
Bulk Actions Log,سجل الإجراءات
%1 item(s) are currently being updated.,يجري حاليا تحديث %1 صنف (أصناف).
Task "%1":,المهمة "%1":
%1 item(s) have been scheduled for update.,%1 صنف (أصناف) على جدول التحديث.
%1 item(s) have been successfully updated.,%1 تم تحديث صنف (أصناف).
%1 item(s) failed to update,فشل تحديث %1 صنف (أصناف)
Details,التفاصيل
View Details,عرض التفاصيل
Dismiss,استبعاد
"Pending, in queue...",معلقة، في انتظار...
%1 items selected for mass update,%1 أصناف محددة لتحديث شامل
", %1 successfully updated",تم تحديث %1 بنجاح
", %1 failed to update",لم يتم تحديث %1
Something went wrong.,لقد حدث خطأ ما.
Action Log,سجل الإجراءات
Bulk Actions,مجموعة إجراءات
Days Saved in Log,أيام محفوظة في سجل
Description of Operation,وصف العملية
Summary,ملخص
Start Time,زمن البداية
Items to Retry,أصناف لإعادة المحاولة
"To retry, select the items and click “Retry”.",لإعادة المحاولة، قم بتحديد الأصناف والنقر فوق "إعادة المحاولة".
Items That Can’t Be Updated.,الأصناف التي لا يمكن تحديثها.
ID,التعريف
Status,الحاله
Meta Information,المعلومات الوصفية
Error,خطأ
Dismiss All Completed Tasks,إستبعاد جميع المهام المكتملة
Action Details - #,تفاصيل العملية - #
Number of Records Affected,عدد السجلات التي تأثرت
We can't find the role for the user you wanted.,لا يمكننا الوصول للمستخدم الذي طلبته
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,حدث خطأ أثناء تجميع قائمة من الموارد المسموح بها. يمكنك العثور على مزيد من المعلومات في سجل الاستثناءات.
You created the order.,قمت بإنشاء الطلب.
Order saving error: %1,أمر حفظ الخطأ: %1
Please choose a payment method.,الرجاء اختيار طريقة الدفع.
We can't process your order right now. Please try again later.,لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً.
An error occurred on the server. Please try to place the order again.,حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى.
Credit Card: xxxx-%1,كارت ائتماني: xxxx-%1
amount %1,%1 كمية
failed.,فشل.
successful.,تم بنجاح.
Authorize.Net Transaction ID %1.,رقم معاملة Authorize.Net %1.
authorize,التصريح
authorize and capture,التحقق و القبض
capture,التقاط
refund,اعادة المبلغ المدفوع
void,الفراغ
Gateway error: %1,خطأ في البوابة: %1
Something went wrong in the payment gateway.,حدث خطأ في بوابة الدفع.
Invalid amount for capture.,المبلغ غير صالح للقبض.
Payment capturing error.,خطأ في قبض الدفعة.
Invalid transaction ID.,رمز تعريف عملية الدفع غير موجود.
Payment voiding error.,خطأ في الغاء الدفعة.
Invalid amount for refund.,المبلغ غير قابل لاسترداده.
Payment refunding error.,خطأ في استرداد المبلغ.
The transaction was declined because the response hash validation failed.,تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة.
This payment didn't work out because we can't find this order.,عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب.
There was a payment authorization error.,خطأ في إذن الدفع.
Please enter a transaction ID to authorize this payment.,الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى.
Transaction %1 has been approved. Amount %2. Transaction status is "%3",تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي "%3"
Transaction %1 has been voided/declined. Transaction status is "%2". Amount %3.,تم رفض العملية %1.الحالة هي "%2".القيمة هي %3.
Authorize Only,المصرح فقط
Authorize and Capture,التحقق و القبض
Unable to get transaction details. Try again later.,غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً.
Electronic payments save the trees.,المدفوعات الإلكترونية صديقة للبيئة.
Credit Card Type,نوع بطاقة الائتمان
Please Select,أختر من فضلك
Credit Card Number,رقم بطاقة الائتمان
Expiration Date,تاريخ الانتهاء
Card Verification Number,رقم التحقق من البطاقة
Fraud Detection,الكشف عن حالات الغش
FDS Filter Action,إجراء تصفية FDS
AVS Response,رد AVS
Card Code Response,استجابة شفرة البطاقة
CAVV Response,استجابة CAVV
Fraud Filters,مانع الاحتيال.
Place Order,إنشاء الطلب
"Sorry, but something went wrong. Please contact the seller.",آسف، ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع.
Authorize.net Direct Post,نشر مباشر Authorize.net
Enabled,تفعيل
Payment Action,إجراءات الدفع
Title,العنوان
API Login ID,API اسم المستخدم
Transaction Key,مفتاح عملية الدفع
Merchant MD5,تاجر MD5
New Order Status,حالة طلب جديدة
Test Mode,وضع الاختبار
Gateway URL,رابط البوابة
Transaction Details URL,رابط تفاصيل عملية الدفع
Accepted Currency,العملات المقبولة
Debug,تنقيح
Email Customer,البريد الإلكتروني للعميل
Merchant's Email,البريد الإلكتروني للتاجر
Credit Card Types,أنواع بطاقة الائتمان
Credit Card Verification,التحقق من البطاقة الائتمانية
Payment from Applicable Countries,الدفع من البلدان المطبقة
Payment from Specific Countries,الدفع من بلدان معينة
Minimum Order Total,إجمالي الحد الأدنى للطلب
Maximum Order Total,إجمالي الحد الأعلى للطلب
Sort Order,ترتيب الطلبات
Invalid Form Key. Please refresh the page.,مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة.
You entered an invalid Secret Key. Please refresh the page.,قمت بإدخال "مفتاح سر" غيرصالح. الرجاء تحديث الصفحة.
Cache Storage Management,إدارة التخزين المؤقت
Flush Magento Cache,مسح ذاكرة التخزين المؤقت لماجنتو
The cache storage may contain additional data. Are you sure that you want to flush it?,ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟
Flush Cache Storage,مسح ذاكرة التخزين المؤقت
Invalidated,إلغاء الصلاحية
Orders,طلبات الشراء
Amounts,المبالغ
Bestsellers,الأكثر مبيعاً
Most Viewed Products,المنتجات الأكثر مشاهدة
New Customers,عضو جديد
Customers,العملاء
Customer,العميل
Guest,زائر
Items,المنتجات
Total,الإجمالي
Lifetime Sales,مبيعات مدى الحياة
Average Order,متوسط الطلبات
Average,المتوسط
Product,المنتج
Price,السعر
Quantity,الكمية
Views,عدد المشاهدات
Revenue,الإيرادات
Tax,الضريبة
Shipping,الشحن
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)"
All Files,كل الملفات
Reset to Default,إعادة ضبط للإعدادات الإفتراضية
All Store Views,واجهه جميع المواقع
What is this?,ما هذا؟
Save Account,حفظ الحساب
My Account,حسابي
Account Information,معلومات الحساب
User Name,اسم المستخدم
First Name,الإسم الأول
Last Name,اسم العائلة
Email,البريد الإلكتروني
User Email,البريد الإلكتروني للمستخدم
New Password,كلمة المرور الجديدة
Password Confirmation,تأكيد كلمة المرور
Interface Locale,لغة الواجهة
Current User Identity Verification,التحقق من هوية المستخدم الحالية
Your Password,كلمة المرور الخاصة بك
Save Cache Settings,حفظ إعدادات الذاكرة المؤقتة
Catalog Rewrites,Rewrites دليل المنتجات
Refresh,التحديث
Images Cache,ذاكرة التخزين المؤقت للصور
Clear,مسح
Search Index,فهرس البحث
Rebuild,إعادة بناء
Inventory Stock Status,حالة جرد المخزون
Rebuild Catalog Index,إعادة إنشاء فهرس دليل المنتجات
Rebuild Flat Catalog Category,إعادة إنشاء flat category لدليل المنتجات
Rebuild Flat Catalog Product,إعادة بناء  Flat Catalog Product
Cache Control,التحكم في التخزين المؤقت
All Cache,ذاكرة التخزين المؤقت
No change,لا يوجد تغيير
Disable,إبطال
Enable,تفعيل
Add Design Change,إضافة تغيير التصميم
Back,رجوع
Delete,احذف
Are you sure?,هل أنت متأكد؟
Save,حفظ
Edit Design Change,تعديل تغيير التصميم
New Store Design Change,تغيير تصميم المتجر الجديد
General Settings,إعدادات عامة
Store,متجر
-- Please Select --,--الرجاء الاختيار-
Custom Design,تصميم مخصص
Date From,التاريخ من
Date To,التاريخ إلى
Design Change,تغيير التصميم
General,عام
Cancel,إلغاء
Delete %1 '%2',حذف %1 '%2'
Delete %1,حذف %1
Block Information,اغلاق المعلومات
Backup Options,خيارات النسخ الاحتياطي
Create DB Backup,إنشاء نسخة احتياطية لقاعدة البيانات
Yes,نعم
No,لا
Delete Store,حذف متجر
Delete Web Site,حذف موقع الويب
